source_id;job_title;company;location;job_url;salary_avg;salary_range_id;f_education_d3;f_education_s1;f_education_s2;f_ipk_required;f_min_gpa;f_major_it;f_major_engineering;f_major_business;f_academic_achievement;f_scholarship;f_transcript_required;f_certificate_required;f_english_required;f_computer_skill_required;f_portfolio_required;f_project_required;f_organization_required;f_leadership_required;f_student_cadre_proxy;f_event_committee;f_communication_required;f_teamwork_required;f_internship_required;f_fresh_graduate_allowed;f_work_experience_required;f_experience_years_min;job_family;region_group;salary_range_label
7418;Technical & Clinical Support (Intern);PT Tiara agung Pratama;Bogor;https://id.jobstreet.com/id/job/91902500?type=standard&ref=search-standalone&origin=cardTitle#sol=d280298af79bf26cafd16e3f7bc4d5f2cb7922b7;500000.0;0.0;0;0;0;0;0.0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;administration;jabodetabek;0 sampai < 1 juta
7419;Magang Staff Pelaksana;Air UntukNegeri;Cilacap;https://id.jobstreet.com/id/job/92150196?type=standard&ref=search-standalone&origin=cardTitle#sol=5be306f4092d7ed5a81470c3bb88d865ae6f8543;800000.0;0.0;0;0;0;0;0.0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;1;1;0;administration;lainnya;0 sampai < 1 juta
7437;Cleaning Service;mamikos.com;Tangerang;https://id.jobstreet.com/id/job/92002090?type=standard&ref=search-standalone&origin=cardTitle#sol=5908fadcf6af1f0af134d89bf37d00259e8c8b5e;500000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;other;jabodetabek;0 sampai < 1 juta
7452;Sales Promotion;The Barkery Bali;Denpasar Utara;https://id.jobstreet.com/id/job/92363607?type=standard&ref=search-standalone&origin=cardTitle#sol=059723f3c674f0b2718b6d718022082192031702;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;business;lainnya;0 sampai < 1 juta
7485;Barista;Tempat Nongkrong Lyka Coffee and Eatry;Tangerang Selatan;https://id.jobstreet.com/id/job/92333944?type=standard&ref=search-standalone&origin=cardTitle#sol=7d959bef37614c52e82543263a3a996287d19359;950000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;other;jabodetabek;0 sampai < 1 juta
7489;Pegawai Fotocopy (7 Hari);CAHAYA 55;Surabaya;https://id.jobstreet.com/id/job/92434702?type=standard&ref=search-standalone&origin=cardTitle#sol=9107788058e4e9a4d113388473ec4f0e02228860;500000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;other;jawa timur;0 sampai < 1 juta
7492;KOL Affiliate Acquisition (Freelance);PT. Upscale Digital Indonesia (Upscale House Project);Bandung;https://id.jobstreet.com/id/job/92332775?type=standard&ref=search-standalone&origin=cardTitle#sol=f48a65edc019de6e60539eaa0d2739c4acc7ab96;900000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;2;other;jawa barat;0 sampai < 1 juta
7511;Barista;Brewin Keliling;DI Yogyakarta;https://id.jobstreet.com/id/job/92297688?type=standard&ref=search-standalone&origin=cardTitle#sol=404c26bc8c307480b183c4fa82494af0e1620bac;900000.0;0.0;0;0;0;0;0.0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;administration;jawa tengah diy;0 sampai < 1 juta
7529;Female Event Executive (Intern);Wzone Gym Studio;Yogyakarta;https://id.jobstreet.com/id/job/92413506?type=standard&ref=search-standalone&origin=cardTitle#sol=50c097918b5e47478adcee770d9969664a0de325;600000.0;0.0;0;0;0;0;0.0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;business;jawa tengah diy;0 sampai < 1 juta
7537;Freelance Aquarist;Finnymate;Kabupaten Bekasi;https://id.jobstreet.com/id/job/92408053?type=standard&ref=search-standalone&origin=cardTitle#sol=2ff9522b88076345805dedfd3372dd578d202976;900000.0;0.0;0;0;0;0;0.0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;other;jabodetabek;0 sampai < 1 juta
