source_id,source_keyword,scraped_at,job_title,company,location,job_url,salary_text,salary_min,salary_max,salary_avg,salary_range_id,salary_range_label,salary_available,f_education_d3,f_education_s1,f_education_s2,f_ipk_required,f_min_gpa,f_major_it,f_major_engineering,f_major_business,f_academic_achievement,f_scholarship,f_transcript_required,f_certificate_required,f_english_required,f_computer_skill_required,f_portfolio_required,f_project_required,f_organization_required,f_leadership_required,f_student_cadre_proxy,f_event_committee,f_communication_required,f_teamwork_required,f_internship_required,f_fresh_graduate_allowed,f_work_experience_required,f_experience_years_min,job_family,region_group
21,admin staff fresh graduate,2026-05-25 21:07:31,Asisten Admin,General Trade & Supplier,Bekasi Barat,https://id.jobstreet.com/id/job/92052985?type=standard&ref=search-standalone&origin=cardTitle#sol=37efc01a4edd3ae96f4bcec66b931cbad99b2215,,,,,,unknown,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,administration,jabodetabek
22,admin staff fresh graduate,2026-05-25 21:07:35,HR Admin / Support - Republik Seafood PIK 2,PT TRI BOGA INVESTAMA,Jakarta Utara,https://id.jobstreet.com/id/job/91945935?type=standard&ref=search-standalone&origin=cardTitle#sol=aa1c60159ab2eb9bdeebd729e65994cbacae027e,Rp 5.000.000 – Rp 5.200.000 per month,5000000.0,5200000.0,5100000.0,3.0,4 sampai < 6 juta,1,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,administration,jabodetabek
23,admin staff fresh graduate,2026-05-25 21:07:39,marketplace admin,Pengiklan Anonim,Jakarta Barat,https://id.jobstreet.com/id/job/91856602?type=standard&ref=search-standalone&origin=cardTitle#sol=5d4835d75defdbf492ad02cd94bcff8cdb401fb9,Rp 3.200.000 – Rp 3.700.000 per month,3200000.0,3700000.0,3450000.0,2.0,2 sampai < 4 juta,1,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,business,jabodetabek
24,admin staff fresh graduate,2026-05-25 21:07:44,Admin Staff,Coconi Baby Indonesia,Medan Amplas,https://id.jobstreet.com/id/job/92038375?type=standard&ref=search-standalone&origin=cardTitle#sol=172c84fbd2dc058d0feea517e6c4e72c23aad923,,,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,finance,sumatera
25,admin staff fresh graduate,2026-05-25 21:07:48,Staf Investasi,PT. ASURANSI JIWA SYARIAH JASA MITRA ABADI,Jakarta Selatan,https://id.jobstreet.com/id/job/91916292?type=standard&ref=search-standalone&origin=cardTitle#sol=1a93a4744c1416dc3bf0723932fd8087a3311c51,apresiasi. subClassification: Perbankan Finansial & Investasi Korporat Perbankan Finansial & Investasi Korporat classification: Perbankan & Layanan | Investasi Korporat Perbankan Finansial & Investasi Korporat classification: Perbankan & Layanan Finansial (Perbankan & Layanan Finansial),,,,,unknown,0,0,1,0,0,0.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,finance,jabodetabek
26,admin staff fresh graduate,2026-05-25 21:07:53,STAFF PAJAK,PT Balina Agung Perkasa,Jakarta Timur,https://id.jobstreet.com/id/job/92087736?type=standard&ref=search-standalone&origin=cardTitle#sol=36d17a8095213d4d291671f030ce1fef8f059d7b,Pajak Pelaporan dan Perhitungan Pajak subClassification: Perpajakan Perpajakan classification: Akuntansi (Akuntansi) 12 hari yang lalu 12 | Pelaporan dan Perhitungan Pajak subClassification: Perpajakan Perpajakan classification: Akuntansi (Akuntansi) 12 hari yang lalu 12 hari,,,,,unknown,0,0,1,0,1,3.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,finance,jabodetabek
27,admin staff fresh graduate,2026-05-25 21:07:57,Sales Support,PT MAHANTA TRANSPORTASI TANGGUH (Jakarta),Jakarta Utara,https://id.jobstreet.com/id/job/92314244?type=standard&ref=search-standalone&origin=cardTitle#sol=ca91a8a0186f28c007e8fb859aa2b78534a9d234,,,,,,unknown,0,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,business,jabodetabek
28,admin staff fresh graduate,2026-05-25 21:08:01,Admin Project,PT Wiratara Prima,Jakarta Selatan,https://id.jobstreet.com/id/job/92140172?type=standard&ref=search-standalone&origin=cardTitle#sol=477add0be7f283c439f9ddb3b021d83446371e90,,,,,,unknown,0,1,0,0,0,0.0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,software,jabodetabek
29,admin staff fresh graduate,2026-05-25 21:08:06,Telemarketing,PT Infoarta Pratama,Kebayoran Lama,https://id.jobstreet.com/id/job/92037649?type=standard&ref=search-standalone&origin=cardTitle#sol=8e0cd25f6b9d0397ee85275abb2bfa8acd205619,,,,,,unknown,0,1,1,0,0,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,business,lainnya
30,admin staff fresh graduate,2026-05-25 21:08:10,Accounts Administration (Jakarta Selatan-DKI Jakarta),PT Halley & Mellowes Australasia,Jakarta Raya,https://id.jobstreet.com/id/job/91756592?type=standard&ref=search-standalone&origin=cardTitle#sol=fde406464d3aca44c233e2a660aa6b0701dde088,,,,,,unknown,0,0,0,0,0,0.0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,software,jabodetabek
